"%1 (inc. %2 initial fee)","%1 (inc. %2 initial fee)"
"%1 (disabled)","%1 (disabled)"
"%1 of %2 orders","%1 of %2 orders"
"%1 of orig. price","%1 of orig. price"
"%1 orders left","%1 orders left"
"%1 payment","%1 payment"
"%1 payments","%1 payments"
"Something went wrong while cancel the subscription.","Something went wrong while cancel the subscription."
"Something went wrong while deleting the items.","Something went wrong while deleting the items."
"Something went wrong while disable the items.","Something went wrong while disable the items."
"Something went wrong while enable the items.","Something went wrong while enable the items."
"Something went wrong while open the profile page.","Something went wrong while open the profile page."
"Something went wrong while perform payment","Something went wrong while perform payment"
"Something went wrong while saving the plan.","Something went wrong while saving the plan."
"Something went wrong while suspend the items.","Something went wrong while suspend the items."
"Status","Status"
"Start","Start"
"Start Date","Start Date"
"Store View","Store View"
"Storefront Description","Storefront Description"
"Subscription","Subscription"
"Subscription #%1","Subscription #%1"
"Subscription billing successful","Subscription billing successful"
"Subscription details","Subscription details"
"Subscription Length","Subscription Length"
"Subscription only","Subscription only"
"Subscription Options","Subscription Options"
"Subscription payment failed","Subscription payment failed"
"Subscription Plan","Subscription Plan"
"Subscription product(s):","Subscription product(s):"
"Subscription Profile ID","Subscription Profile ID"
"Subscription Start Date","Subscription Start Date"
"Subscriptions","Subscriptions"
"Subscriptions and Recurring Payments 2","Subscriptions and Recurring Payments 2"
"Subtotal","Subtotal"
"Successful Billing Email","Successful Billing Email"
"Suspend","Suspend"
"Suspended","Suspended"
"Thank you for being our subscriber.","Thank you for being our subscriber."
"The invoice for this payment will be sent in a separate email.","The invoice for this payment will be sent in a separate email."
"The next billing date for the products listed below is %nextPaymentDate","The next billing date for the products listed below is %nextPaymentDate"
"The plan was successfully saved.","The plan was successfully saved."
"The subscription was successfully cancelled.","The subscription was successfully cancelled."
"This card is used for paying for one or more subscriptions. If you continue, these subscriptions will stop.","This card is used for paying for one or more subscriptions. If you continue, these subscriptions will stop."
"This method will be used if a shipping method from initial order can't be applied.","This method will be used if a shipping method from initial order can't be applied."
"Title","Title"
"Total amount (including shipping) will be %totalScheduled","Total amount (including shipping) will be %totalScheduled"
"Total Number Of Payments","Total Number Of Payments"
"Total payment amount: %totalPaid","Total payment amount: %totalPaid"
"Trial","Trial"
"Trial Billing Amount","Trial Billing Amount"
"Trial payment(s)","Trial payment(s)"
"Trial Period Length","Trial Period Length"
"Trial Period Price","Trial Period Price"
"Trial Price","Trial Price"
"Trial payment price (% of product price)","Trial payment price (% of product price)"
"Trial Period","Trial Period"
"Up to X9.00","Up to X9.00"
"Up to XX.90","Up to XX.90"
"Up to XX.99","Up to XX.99"
"Use plan settings","Use plan settings"
"Visible in admin panel only.","Visible in admin panel only."
"We are sorry, subscriptions can't be purchased using Instant Purchase. Instead, use Add To Cart button and then proceed to checkout.","We are sorry, subscriptions can't be purchased using Instant Purchase. Instead, use Add To Cart button and then proceed to checkout."
"We couldn't find any records.","We couldn't find any records."
"We have processed your subscription payment successfully.","We have processed your subscription payment successfully."
"We were unable to renew your subscription because of a problem with your current payment method.","We were unable to renew your subscription because of a problem with your current payment method."
"Website","Website"
"Week","Week"
"Weekly","Weekly"
"Year","Year"
"Yes (Recommended)","Yes (Recommended)"
"You have created no subscriptions.","You have created no subscriptions."
"All payments are done","All payments are done"
"Membership Model","Membership Model"
"Adds an extra cycle at the end of the subscription.","Adds an extra cycle at the end of the subscription."
"Membership is Paid Until","Membership is Paid Until"
"End of Membership","End of Membership"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Subscription Profile #%1","Subscription Profile #%1"
"Payment Details","Payment Details"
"Shipping Address","Shipping Address"
"All Subscriptions","All Subscriptions"
"Edit","Edit"
"Change Shipping Address","Change Shipping Address"
"Current Address","Current Address"
"Save Address","Save Address"
"+ New Address","+ New Address"
"Please Select New Address","Please Select New Address"
"Back","Back"
"Shipping Address has been successfully changed.","Shipping Address has been successfully changed."
"Something went wrong while changed the Address.","Something went wrong while changed the Address."
